architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
A,[16],10000,0,standard,200,0.285,0.715,20.58,19.855
B,[16],10000,0,standard,200,0.29,0.29,55.68,53.11
C,[16],10000,0,standard,200,0.3,0.13,67.52,63.27
A,[16],10000,0,goal_nulling,200,0.105,0.895,9.36,22.66
A,[16],10000,0,indifference,200,0.405,0.58,31.52,18.62
A,[16],10000,0,override_w0,200,0.285,0.715,20.58,19.855
A,[16],10000,0,override_w1,200,0.06,0.93,5.1,24.505
A,[16],10000,0,override_w1.5,200,0.055,0.945,3.88,24.03
A,[16],10000,0,override_w2,200,0.055,0.945,4.66,23.835
A,[16],10000,0,override_w4,200,0.035,0.965,3.28,24.18
A,[16],10000,0,override_w8,200,0.045,0.955,4.18,23.955
B,[16],10000,0,goal_nulling,200,0.15,0.53,41.24,46.945
B,[16],10000,0,indifference,200,0.24,0.355,51.88,52.53
B,[16],10000,0,override_w0,200,0.29,0.29,55.68,53.11
C,[16],10000,0,override_w0,200,0.3,0.13,67.52,63.27
B,[16],10000,0,override_w1,200,0.16,0.435,50.44,52.95
C,[16],10000,0,override_w1,200,0.06,0.89,9.48,27.52
B,[16],10000,0,override_w1.5,200,0.14,0.48,46.5,51.465
C,[16],10000,0,override_w1.5,200,0.04,0.745,24.48,40.38
B,[16],10000,0,override_w2,200,0.135,0.495,45.2,50.65
C,[16],10000,0,override_w2,200,0.035,0.685,30.68,45.33
B,[16],10000,0,override_w4,200,0.18,0.465,45.88,50.14
C,[16],10000,0,override_w4,200,0.065,0.905,7.42,27.3
B,[16],10000,0,override_w8,200,0.17,0.47,45.78,50.085
C,[16],10000,0,override_w8,200,0.075,0.775,20.66,34.835
C,[16],10000,0,goal_nulling,200,0.32,0.435,36.86,39.415
C,[16],10000,0,indifference,200,0.485,0.38,47.8,29.505
A,[16],10000,0,standard,200,0.285,0.715,20.58,19.855
B,[16],10000,0,standard,200,0.29,0.29,55.68,53.11
C,[16],10000,0,standard,200,0.3,0.13,67.52,63.27
A,[16],10000,0,goal_nulling,200,0.105,0.895,9.36,22.66
A,[16],10000,0,indifference,200,0.405,0.58,31.52,18.62
A,[16],10000,0,override_w0,200,0.285,0.715,20.58,19.855
A,[16],10000,0,override_w1,200,0.06,0.93,5.1,24.505
A,[16],10000,0,override_w1.5,200,0.055,0.945,3.88,24.03
A,[16],10000,0,override_w2,200,0.055,0.945,4.66,23.835
A,[16],10000,0,override_w4,200,0.035,0.965,3.28,24.18
A,[16],10000,0,override_w8,200,0.045,0.955,4.18,23.955
B,[16],10000,0,goal_nulling,200,0.15,0.53,41.24,46.945
B,[16],10000,0,indifference,200,0.24,0.355,51.88,52.53
B,[16],10000,0,override_w0,200,0.29,0.29,55.68,53.11
C,[16],10000,0,override_w0,200,0.3,0.13,67.52,63.27
B,[16],10000,0,override_w1,200,0.16,0.435,50.44,52.95
C,[16],10000,0,override_w1,200,0.06,0.89,9.48,27.52
B,[16],10000,0,override_w1.5,200,0.14,0.48,46.5,51.465
C,[16],10000,0,override_w1.5,200,0.04,0.745,24.48,40.38
B,[16],10000,0,override_w2,200,0.135,0.495,45.2,50.65
C,[16],10000,0,override_w2,200,0.035,0.685,30.68,45.33
B,[16],10000,0,override_w4,200,0.18,0.465,45.88,50.14
C,[16],10000,0,override_w4,200,0.065,0.905,7.42,27.3
B,[16],10000,0,override_w8,200,0.17,0.47,45.78,50.085
C,[16],10000,0,override_w8,200,0.075,0.775,20.66,34.835
